applicationId,taUserId,jobId,status,appliedDate,reviewNote
APP001,U003,J004,ACCEPTED,2026-05-09,""
APP002,U005,J005,ACCEPTED,2026-05-09,"Reassigned from TA U003 by AI workload balancing on 2026-05-09"
APP003,U003,J006,REJECTED,2026-05-09,""
APP004,U003,J007,ACCEPTED,2026-05-09,""
APP005,U003,J008,ACCEPTED,2026-05-09,""
APP006,U005,J004,ACCEPTED,2026-05-09,""
APP007,U005,J005,SUBMITTED,2026-05-09,""
APP008,U005,J006,SUBMITTED,2026-05-09,""
APP009,U005,J007,SUBMITTED,2026-05-09,""
APP010,U005,J008,SUBMITTED,2026-05-09,""
APP011,U003,J005,SUBMITTED,2026-05-10,""
APP012,U003,J009,SUBMITTED,2026-05-10,""
APP013,U003,J015,ACCEPTED,2026-05-10,"OK"
APP014,U003,J016,ACCEPTED,2026-05-10,""
